info: Listening to port 3000 {"timestamp":"2020-05-29T14:32:12.108Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:32:24.263Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:32:24.299Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:34:23.963Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:34:23.971Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:34:36.759Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:34:36.768Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:35:32.049Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:35:32.060Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:35:58.329Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:35:58.337Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:37:16.790Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:37:16.798Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:42:07.987Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:42:07.999Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:43:10.181Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:43:10.189Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:43:29.118Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:43:29.123Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:43:56.021Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:43:56.029Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:44:13.315Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:44:13.322Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:45:35.907Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:45:35.915Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:46:04.357Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:46:04.367Z"}
info: Connected to MongoDB mongodb://localhost/vidly.... {"timestamp":"2020-05-29T14:46:42.857Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:46:42.862Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:46:55.317Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:46:55.330Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T14:47:23.188Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T14:47:23.195Z"}
